"","sitename","lon","lat","dates","economy"
"1","Épibéliard",0.873046875,0.083984375,"7143 ± 20 BP","HG"
"2","Cololuçon",0.658203125,0.083984375,"7199 ± 30 BP | 7124 ± 60 BP","HG"
"3","Pulogne",0.638671875,0.416015625,"7220 ± 50 BP | 7070 ± 20 BP","HG"
"4","Haguemasse",0.501953125,0.064453125,"7218 ± 40 BP | 7152 ± 20 BP","HG"
"5","Auriteaux",0.619140625,0.240234375,"7251 ± 60 BP","HG"
"6","Bourville",0.833984375,0.357421875,"7090 ± 50 BP | 7058 ± 40 BP","F"
"7","Banau",0.990234375,0.337890625,"6795 ± 40 BP","HG"
"8","Montnesse",0.677734375,0.220703125,"7009 ± 40 BP","F"
"9","Bannet",0.677734375,0.318359375,"6865 ± 20 BP","HG"
"10","Alenlon",0.736328125,0.142578125,"6805 ± 30 BP","F"
"11","Roullac",0.501953125,0.337890625,"6708 ± 50 BP","F"
"12","Genneville",0.951171875,0.220703125,"6672 ± 40 BP | 6594 ± 40 BP | 6547 ± 40 BP | 6519 ± 60 BP","F"
"13","Vinlès",0.677734375,0.103515625,"6635 ± 80 BP | 6627 ± 30 BP | 6589 ± 80 BP | 6532 ± 100 BP","F"
"14","Antonnet",0.560546875,0.396484375,"6564 ± 40 BP | 6550 ± 20 BP | 6532 ± 50 BP","F"
"15","Courtou",0.990234375,0.396484375,"6507 ± 120 BP","F"
