"","lon","lat","dates","economy"
"1",-1.88588166552561,3.00553654180978,"7149 ± 40 BP | 7024 ± 80 BP | 6655 ± 20 BP","HG"
"2",-1.50928750974909,3.00074729065938,"7275 ± 80 BP | 6799 ± 20 BP | 6715 ± 40 BP | 6622 ± 40 BP","HG"
"3",-1.73670443666687,3.23952998359501,"7361 ± 20 BP | 7037 ± 30 BP | 6752 ± 50 BP | 6672 ± 60 BP","HG"
"4",-1.919921875,3.208984375,"7294 ± 50 BP | 7250 ± 60 BP | 6657 ± 30 BP","HG"
"5",-1.646484375,3.033203125,"7039 ± 80 BP | 6622 ± 50 BP | 6503 ± 50 BP","HG"
"6",-1.822265625,3.462890625,"6740 ± 30 BP | 6527 ± 60 BP","HG"
"7",-1.802734375,3.111328125,"6590 ± 40 BP","HG"
"8",-1.646484375,3.345703125,"6540 ± 30 BP","HG"
"9",-1.587890625,3.208984375,"6540 ± 80 BP","HG"
"10",-1.841796875,3.013671875,"6516 ± 40 BP","F"
