"","lon","lat","dates","economy"
"1",-0.0786686160491472,2.07993228686801,"7208 ± 40 BP | 7152 ± 120 BP | 7005 ± 40 BP | 6730 ± 60 BP","HG"
"2",-0.044921875,2.427734375,"7007 ± 80 BP | 6664 ± 30 BP","HG"
"3",-0.025390625,2.271484375,"6994 ± 40 BP | 6849 ± 80 BP","HG"
"4",-0.396484375,2.232421875,"6874 ± 40 BP","HG"
"5",-0.416015625,2.095703125,"6962 ± 40 BP | 6804 ± 100 BP","HG"
"6",-0.220703125,2.271484375,"6692 ± 60 BP | 6674 ± 20 BP","HG"
"7",-0.259765625,2.076171875,"6699 ± 120 BP | 6675 ± 30 BP","F"
"8",-0.025390625,2.017578125,"6627 ± 30 BP | 6585 ± 30 BP","F"
"9",-0.123046875,2.251953125,"6547 ± 80 BP | 6527 ± 80 BP","F"
"10",-0.416015625,2.408203125,"6580 ± 50 BP","F"
"11",-0.337890625,2.095703125,"6568 ± 30 BP","F"
